pfv_id,phase,session,surface,variant_axis,state_shown,device,aspect_ratio,parent_id,evolution_pattern,delta_axis,v_verdict,v_5gate,feedback_note,local_path,created_at_utc,downstream_use,forbidden_use,notes
pfv-S00-V1-en,P0,S00-EN,capture-station-desktop,1-default-empty,idle,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome must localize before reuse,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V1-en-default-empty.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V2-en,P0,S00-EN,capture-station-desktop,2-loading,loading,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V2-en-loading.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V3-en,P0,S00-EN,capture-station-desktop,3-metadata-loaded,partial-ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN + title H5 inconsistency,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V3-en-metadata-loaded.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V4-en,P0,S00-EN,capture-station-desktop,4-full-state,ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,was old EN anchor,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V4-en-full-state-ANCHOR.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive ANCHOR
pfv-S00-V5-en,P0,S00-EN,capture-station-desktop,5-vault-preview-expanded,ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V5-en-vault-preview-expanded.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V6-en,P0,S00-EN,capture-station-desktop,6-dry-run-visible,blocked,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V6-en-dry-run-visible.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V7-en,P0,S00-EN,capture-station-desktop,7-sidebar-collapsed,ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V7-en-sidebar-collapsed.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V8-en,P0,S00-EN,capture-station-desktop,8-error-banner,error,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V8-en-error-banner.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V9-en,P0,S00-EN,capture-station-desktop,9-high-density,ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V9-en-high-density.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
pfv-S00-V10-en,P0,S00-EN,capture-station-desktop,10-reduced-density,ready,desktop,16:9,,,,V-PASS-with-language-gap,PPPPP,EN UI chrome,docs/research/visual-prototypes/PF-V/images-P0-EN-reference/pfv-S00-V10-en-reduced-density.png,2026-05-06T22:50:00Z,archive-only,not-implementation-source,EN reference archive
